MRT.STATIONS,POSTAL.CODE,Longtitude,Latitude
TIONG BAHRU MRT STATION,168731,103.8274451,1.286102536
TOA PAYOH MRT STATION,319398,103.8475018,1.332628988
TUAS CRESCENT MRT STATION,639608,103.6490782,1.321026952
TUAS LINK MRT STATION,638418,103.6369914,1.340882425
TUAS WEST ROAD MRT STATION,639609,103.6396141,1.329989089
UBI MRT STATION,408899,103.8992267,1.329974629
UPPER CHANGI MRT STATION,485990,103.9614726,1.341739784
WOODLANDS MRT STATION,738343,103.7864625,1.436968248
WOODLEIGH MRT STATION,347695,103.8708183,1.339190045
YEW TEE MRT STATION,689715,103.7474051,1.397535018
YIO CHU KANG MRT STATION,569813,103.8449473,1.381755887
YISHUN MRT STATION,769093,103.835005,1.42944308
