CENTRE.NAME,POSTAL.CODE,Longtitude,Latitude
PCF SPARKLETOTS PRESCHOOL @ PUNGGOL COAST BLK 676B (DS),822676,103.9102097,1.404891408
PCF SPARKLETOTS PRESCHOOL @ KEAT HONG BLK 801 (DS),680801,103.7434472,1.375252405
PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH BLK 312B (DS),122312,103.7644555,1.31967297
PCF SPARKLETOTS PRESCHOOL @ NEE SOON EAST BLK 671 (DS),760671,103.8415813,1.419191163
PCF SPARKLETOTS PRESCHOOL @ TOA PAYOH WEST - BALESTIER BLK 131 (DS),310131,103.8432773,1.337963936
PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH BLK 446 (DS),650446,103.7390846,1.350170851
MY FIRST SKOOL,648331,103.705351,1.33931504
MY FIRST SKOOL,449269,103.9052795,1.301069755
MY FIRST SKOOL,460419,103.9281358,1.326966214
MY FIRST SKOOL,120428,103.7632688,1.312511991
MY FIRST SKOOL,560343,103.8491511,1.368374751
MY FIRST SKOOL,610333,103.7234416,1.339279332
MY FIRST SKOOL,330066,103.8699146,1.320664457
MY FIRST SKOOL,390000,103.8800076,1.309046522
MY FIRST SKOOL,310192,103.8504872,1.331668148
MY FIRST SKOOL,761796,103.8330734,1.419356831
MY FIRST SKOOL,310248,103.8558794,1.331367167
MY FIRST SKOOL,670235,103.7712486,1.378194277
MY FIRST SKOOL,680212,103.7473479,1.382469861
MY FIRST SKOOL,640518,103.7179785,1.345086814
MY FIRST SKOOL,570245,103.8439634,1.360337274
MY FIRST SKOOL,550140,103.8750065,1.368434569
MY FIRST SKOOL,600209,103.7400934,1.337825465
MY FIRST SKOOL,730848,103.7917581,1.441782188
MY FIRST SKOOL,522487,103.9578842,1.360758204
MY FIRST SKOOL,530667,103.8838491,1.373785015
MY FIRST SKOOL,320085,103.856458,1.322810451
MY FIRST SKOOL,510637,103.9403143,1.376783174
MY FIRST SKOOL,430001,103.8977034,1.311290912
MY FIRST SKOOL,530950,103.8787611,1.375593053
MY FIRST SKOOL,730406,103.7727281,1.429403896
MY FIRST SKOOL,560329,103.8468744,1.366599086
MY FIRST SKOOL,760612,103.8354176,1.420360739
MY FIRST SKOOL,540101,103.899272,1.38276429
MY FIRST SKOOL,680602,103.7445013,1.397244183
MY FIRST SKOOL,750331,103.816662,1.447528577
MY FIRST SKOOL,659841,103.7582519,1.348963327
MY FIRST SKOOL,160050,103.8267937,1.289778139
MY FIRST SKOOL,751507,103.8239669,1.452730801
MY FIRST SKOOL,540230,103.9012709,1.38835482
MY FIRST SKOOL,543308,103.8868447,1.389227472
MY FIRST SKOOL,530170,103.8893194,1.351463459
MY FIRST SKOOL,641671,103.7023611,1.344046608
MY FIRST SKOOL,733688,103.8073026,1.443409491
MY FIRST SKOOL,820166,103.9154674,1.394975629
MY FIRST SKOOL,541295,103.8992781,1.398271174
MY FIRST SKOOL,730347,103.7815949,1.433191403
MY FIRST SKOOL,540269,103.895653,1.38437249
MY FIRST SKOOL,544203,103.8955253,1.387214452
MY FIRST SKOOL,560541,103.8556214,1.373922392
MY FIRST SKOOL (DS),730742,103.796033,1.443920973
MY FIRST SKOOL,560331,103.8507665,1.362111407
MY FIRST SKOOL,560601,103.8351317,1.381041355
MY FIRST SKOOL,120375,103.7667016,1.318492987
MY FIRST SKOOL,542302,103.8907051,1.387862243
MY FIRST SKOOL,520135,103.9570461,1.348037331
MY FIRST SKOOL,550219,103.872182,1.358358825
MY FIRST SKOOL,120339,103.7691398,1.319663167
MY FIRST SKOOL,640409,103.7253247,1.354097927
MY FIRST SKOOL,510487,103.96059,1.374941287
MY FIRST SKOOL,520341,103.9611349,1.351145702
MY FIRST SKOOL,530677,103.8843189,1.371129016
MY FIRST SKOOL,530528,103.8907261,1.375119192
MY FIRST SKOOL,320111,103.8582727,1.321303988
MY FIRST SKOOL,650291,103.7560517,1.343667667
MY FIRST SKOOL,141082,103.8087511,1.294545259
MY FIRST SKOOL,460503,103.9324659,1.331483875
MY FIRST SKOOL,100063,103.8109414,1.274831282
MY FIRST SKOOL,550306,103.8668857,1.354170254
MY FIRST SKOOL,440018,103.9143008,1.303208583
MY FIRST SKOOL,643648,103.6979498,1.338967611
MY FIRST SKOOL,380128,103.887754,1.318309195
MY FIRST SKOOL,821126,103.9113562,1.39410055
MY FIRST SKOOL,520803,103.9376886,1.345198087
MY FIRST SKOOL,272018,103.7918866,1.311058611
MY FIRST SKOOL,680208,103.7481827,1.381460756
MY FIRST SKOOL,190019,103.8623445,1.303707701
MY FIRST SKOOL,820183,103.9098456,1.398810031
MY FIRST SKOOL,560209,103.8432845,1.368970796
MY FIRST SKOOL,310055,103.8511978,1.337359774
MY FIRST SKOOL,150106,103.8222768,1.289426079
MY FIRST SKOOL,510568,103.9489128,1.368749383
MY FIRST SKOOL,570236,103.8470066,1.359004909
MY FIRST SKOOL,570153,103.8550783,1.346085959
MY FIRST SKOOL,649882,103.7114189,1.348375633
MY FIRST SKOOL,82002,103.8426053,1.275236831
MY FIRST SKOOL,618616,103.7217483,1.335842925
MY FIRST SKOOL,670654,103.7642493,1.387846928
MY FIRST SKOOL,640613,103.7006677,1.339782505
MY FIRST SKOOL,540153,103.9066012,1.391365272
MY FIRST SKOOL,311014,103.8583152,1.336268211
MY FIRST SKOOL,460001,103.9337211,1.320852087
MY FIRST SKOOL,560571,103.8548806,1.370055013
MY FIRST SKOOL,541314,103.8891468,1.390963468
MY FIRST SKOOL,350134,103.8662865,1.334474892
MY FIRST SKOOL,310219,103.8558726,1.342764332
MY FIRST SKOOL,821267,103.8975049,1.404559094
MY FIRST SKOOL,643656,103.6999742,1.335989551
MY FIRST SKOOL,560229,103.8382287,1.369076459
MY FIRST SKOOL,641681,103.7051952,1.344408627
MY FIRST SKOOL,821306,103.9053953,1.406092596
MY FIRST SKOOL,161051,103.8276797,1.289946185
MY FIRST SKOOL,510197,103.9607387,1.366402997
MY FIRST SKOOL,640459,103.7209118,1.350329045
MY FIRST SKOOL,760423,103.8483138,1.422842965
MY FIRST SKOOL,750303,103.8224416,1.444689924
MY FIRST SKOOL,792451,103.8745474,1.394298934
MY FIRST SKOOL,822208,103.9011272,1.401361543
MY FIRST SKOOL,160137,103.826959,1.27814726
MY FIRST SKOOL,608532,103.7427664,1.334157546
MY FIRST SKOOL,550264,103.8721031,1.352275199
MY FIRST SKOOL,160054,103.8411759,1.287436414
MY FIRST SKOOL,310236,103.852085,1.340273516
MY FIRST SKOOL,670487,103.7711062,1.389173071
MY FIRST SKOOL,821209,103.9007321,1.399730681
MY FIRST SKOOL,330049,103.8663682,1.324487374
MY FIRST SKOOL,642180,103.709071,1.347833888
MY FIRST SKOOL,750491,103.8177166,1.45611279
MY FIRST SKOOL,542332,103.8914562,1.395107948
MY FIRST SKOOL,528833,103.9530245,1.342706196
MY FIRST SKOOL,758459,103.8248452,1.441824707
MY FIRST SKOOL,823312,103.9011861,1.410907282
MY FIRST SKOOL,640756,103.7007218,1.349326757
MY FIRST SKOOL,730678,103.8012931,1.439983666
MY FIRST SKOOL,513524,103.9475946,1.370545294
MY FIRST SKOOL,644197,103.7138694,1.343607885
MY FIRST SKOOL,828761,103.9021057,1.406484621
MY FIRST SKOOL,820119,103.9065145,1.395453225
